Sheet,1,2,3,4,5,6,7,8,9,10,11
A One C,95.0,96.4,89.0,N,88.1,93.5,87.9,91.1,99.3,77.6,89.4
Advised to Change Eating Hab,69.4,77.2,73.9,75.9,71.7,77.3,67.4,71.4,79.3,76.1,81.4
Advised to Cut Down Salt,67.2,67.3,69.9,69.7,70.9,69.8,67.1,69.4,77.4,73.3,77.7
Advised to Exercise,78.8,81.9,85.9,82.0,80.7,85.0,77.0,80.3,84.7,82.8,92.2
Advised to Take Med,91.4,96.4,87.0,89.3,89.1,87.1,82.3,86.7,87.5,87.3,89.9
"All Teeth Removed, 65+",R,26.3,11.5,26.2,9.6,10.8,10.5,R,R,R,R
Alzheimers Care,14.1,R,20.5,N,15.0,R,15.9,32.9,R,R,R
Any Cancer,6.0,12.8,11.0,12.4,16.1,9.6,10.4,7.8,5.3,5.8,6.9
Any Drinking Past Month,41.7,37.5,52.2,44.2,46.1,47.9,57.7,52.6,50.5,49.7,45.3
Arthritis,23.0,31.4,20.9,31.4,26.7,16.7,23.0,26.8,22.2,24.4,18.4
Asthma Status,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0
BMI 3 Categories,21.7,30.0,29.8,25.4,23.8,32.5,34.1,28.7,21.7,24.8,27.0
BMI 4 Categories,R,R,1.7,R,R,3.2,2.6,R,R,R,R
BMI 5 Categories,R,R,1.7,R,R,3.2,2.6,R,R,R,R
BP Location,83.8,85.2,85.2,77.4,85.6,84.2,82.3,80.4,86.9,87.9,88.2
BP Sharing,R,R,3.1,R,R,R,R,3.4,R,R,R
Binge Drinking,17.2,10.6,15.7,9.8,18.9,17.0,17.5,17.7,21.0,12.7,18.7
Binge-Heavy Drinking - Femal,R,R,18.3,N,R,19.4,18.3,23.2,19.6,R,18.1
Blind,7.1,12.2,6.5,R,10.0,5.6,5.2,7.5,10.6,9.0,12.6
COPD,6.8,6.3,5.6,11.2,6.9,6.6,5.6,5.1,R,6.0,4.0
CVD,12.0,14.3,8.9,17.3,13.4,5.5,7.3,7.6,R,6.9,8.2
Cervical Cancer Screening,86.5,81.0,76.2,74.9,76.4,74.0,78.0,84.1,75.2,66.3,72.0
Cervical Cancer Screening HP,49.0,48.2,49.0,38.9,44.6,54.7,47.7,47.6,56.5,49.2,54.3
Cervical Cancer Screening Pa,89.7,98.0,95.6,95.4,91.7,91.1,95.3,93.9,91.0,92.3,92.9
Chest CT or CAT Scan,39.0,45.6,39.1,53.2,43.0,35.5,38.6,44.4,39.6,39.1,37.7
ClnscpySgmscpy,87.6,88.6,86.0,83.3,75.5,87.8,86.3,84.6,82.0,86.3,77.9
Cog Decline Discuss,40.7,59.6,43.2,N,56.9,40.9,44.3,46.9,N,N,40.4
Cog Decline Worry,64.5,73.5,62.7,N,67.3,58.4,64.6,62.7,N,N,78.3
Col Past 10 Yrs 50-75,59.6,63.0,62.6,60.5,50.5,58.2,69.1,64.3,57.8,64.3,51.0
Col Past 10 Yrs 50-75 IA,59.3,62.7,62.6,61.4,51.1,57.9,69.4,64.3,57.8,61.7,51.0
Coronary Heart Disease,5.1,7.6,3.9,7.0,R,2.9,4.0,3.5,R,3.1,4.4
Current Asthma,70.6,66.7,61.3,N,66.8,48.2,67.8,66.1,48.7,66.2,52.4
Current Asthma 2,13.7,9.3,9.2,10.4,R,6.8,10.6,11.6,6.8,7.9,5.0
Current E-cig User,10.2,9.5,7.0,9.0,8.9,6.0,9.6,8.8,12.1,10.9,8.7
Current Smoker,13.6,11.3,7.3,17.3,15.6,11.2,9.5,7.6,20.0,12.5,10.3
Deaf,8.2,9.7,6.3,8.9,8.4,4.8,5.9,7.1,R,7.5,9.2
Dentist Visit Past Year,53.3,53.2,62.2,44.8,46.6,58.4,63.6,61.7,47.7,50.3,56.7
Depressive Disorder,16.9,24.7,21.9,24.9,27.3,17.6,25.4,27.4,17.1,23.1,19.2
Diabetes,16.0,15.5,12.3,19.9,17.4,11.8,11.6,14.9,11.3,18.0,18.0
Diabetes Affected Feet,R,R,R,N,R,R,R,R,R,R,R
Diabetes Age,N,N,N,N,N,N,N,N,N,N,N
Diabetes Education,R,R,11.4,N,R,R,R,12.0,R,R,R
Diabetes Eye Exam,22.4,R,16.4,N,R,R,24.2,19.3,R,18.2,15.6
Diabetes Status,16.0,15.5,12.3,19.9,17.4,11.8,11.6,14.9,11.3,18.0,18.0
Diabetes Test,N,,N,N,N,N,N,N,N,N,N
Diabetes Type,R,R,10.9,N,R,R,R,9.0,R,R,R
Difficulty Concentrating,16.8,17.0,14.2,12.6,15.2,14.8,13.3,16.0,14.0,19.0,17.3
Difficulty Doing Errands Alo,8.5,R,7.7,R,7.7,7.4,5.3,9.5,9.0,10.6,11.3
Difficulty Dressing,7.3,R,2.5,R,R,3.7,2.0,5.5,R,8.2,8.7
Difficulty Walking,16.0,19.6,12.2,17.5,18.5,11.9,10.1,14.3,15.5,22.6,13.5
Disability Status,35.4,40.8,29.6,29.0,34.7,27.9,27.3,33.2,32.9,40.5,33.6
Dr Rx Pain Talk,66.2,58.2,61.2,64.2,63.9,48.8,62.1,59.1,70.4,47.3,49.3
DurationClnscpySgmy,N,N,N,,N,N,N,N,N,N,N
DurationHomeBloodStoolTest,46.5,36.8,39.4,N,32.6,44.4,43.7,43.2,N,43.7,61.1
E-Cig Ever,71.2,71.4,75.8,69.6,70.5,75.0,71.1,72.8,59.6,75.6,68.9
E-Cig Status,6.3,R,3.8,R,R,3.5,5.5,4.8,7.1,R,R
Ever Had Blood Stool Test,85.5,88.7,85.5,85.2,71.9,84.0,88.5,83.8,55.3,82.5,79.8
Ever Had HIV Test,36.5,38.0,41.3,37.6,44.3,48.8,39.6,40.9,45.8,39.3,39.6
Ever Had Sgmscpy-clnscpy,65.7,70.1,70.0,67.8,60.3,63.9,75.0,73.1,64.9,68.5,61.0
Ever Smoked,40.7,37.1,29.3,44.9,37.8,32.5,33.6,31.3,50.3,33.0,30.4
Ever Told High BP,34.1,44.7,35.2,48.8,41.9,33.5,33.2,35.2,29.1,36.3,30.3
FOBT Past Yr,R,9.8,9.3,R,7.6,9.4,10.1,9.4,R,12.5,R
FOBT Past Yr IA,R,9.7,9.1,R,7.7,9.3,9.8,9.3,R,11.9,R
Fair or Poor Health,24.8,27.4,20.1,21.0,23.6,18.2,18.3,22.9,26.3,25.3,28.7
Flu Shot in Past Year,33.6,37.4,38.5,25.4,25.6,36.2,41.3,38.0,24.5,41.1,32.0
"Flu Shot, 18-64",28.5,32.4,33.1,17.9,16.7,32.3,35.7,32.9,20.9,31.9,26.9
"Flu Shot, 65+",53.1,49.1,63.5,43.2,54.2,52.4,65.0,58.7,45.6,66.1,56.0
Flu Vaccine Location,33.3,22.4,26.0,25.1,24.9,22.0,27.2,22.3,34.2,28.5,37.6
Frequency of Smoking,24.4,18.7,15.8,23.5,22.4,23.3,20.6,15.6,30.5,17.9,12.9
General Health,11.1,7.4,16.2,17.9,16.0,17.3,16.0,16.5,15.8,12.8,12.3
Given Up Day-to-Day Activiti,35.8,27.7,38.6,N,58.6,R,33.6,47.0,N,N,N
HIV Risk Behavior,3.9,R,5.8,R,R,7.1,7.3,6.3,7.5,8.6,4.7
HIV-AIDS Test,36.5,38.0,41.3,37.6,44.3,48.8,39.6,40.9,45.8,39.3,39.6
HPV Test Past 5 Yrs 21-65,44.0,53.6,39.8,N,38.2,43.9,41.5,39.7,42.3,33.2,38.6
HPV Test Past 5 Yrs 21-65 IA,43.9,53.8,39.6,N,37.7,43.8,41.2,39.8,42.3,30.5,38.6
Have At Least One Personal D,76.3,86.2,79.7,82.8,75.6,71.2,81.0,79.8,73.6,75.6,70.2
Health Care Coverage,85.4,91.4,86.3,83.5,83.2,82.3,90.2,88.4,85.3,84.6,76.2
Health Care Coverage Age 18-,81.6,87.6,83.1,77.0,79.6,78.4,88.6,85.5,82.8,79.9,71.5
Health Care Provider,50.3,54.6,45.8,51.0,51.4,41.4,44.5,46.1,48.4,50.9,47.6
Heart Attack,4.9,7.0,3.4,9.9,R,2.8,3.6,3.7,R,4.1,5.7
Heart Disease,8.3,9.4,5.8,12.8,8.0,4.4,5.4,5.4,R,5.4,7.2
Heated TBCO Products,6.6,9.8,12.8,17.0,10.3,11.1,11.5,11.2,7.2,13.2,11.3
Heavy Drinking,4.1,3.3,5.8,R,R,7.5,7.2,9.0,5.9,3.9,R
Heavy Drinking - Females,R,R,6.8,R,R,R,7.2,7.7,R,R,R
Heavy Drinking - Males,6.3,4.6,4.8,R,R,10.6,7.3,10.3,R,6.1,R
Hlth Affected Activ 14+ Days,88.9,88.8,91.1,89.2,86.7,91.1,91.2,89.1,90.2,87.3,87.8
Hlth Affected Activ 5+ Days,81.0,79.4,82.6,80.2,75.1,85.2,80.9,77.9,83.7,77.6,78.4
Home BP Check,78.4,90.5,82.1,84.0,82.1,75.9,76.8,76.9,83.6,76.7,80.7
Hysterectomy,18.9,31.9,23.6,28.6,35.4,19.5,17.0,20.0,28.1,19.2,25.8
Insulin,27.1,37.4,30.0,N,R,31.1,28.1,29.1,R,28.3,31.2
Interfere w Social Act,22.6,R,35.5,N,49.6,R,18.9,37.3,N,N,N
Kidney Disease,3.5,R,4.0,5.4,4.1,2.6,4.3,4.1,R,R,7.0
Last Dentist Visit,53.3,53.2,62.2,44.8,46.6,58.4,63.6,61.7,47.7,50.3,56.7
Last Smoked,R,R,4.9,R,R,R,R,R,R,R,R
Leftover Pain Meds,42.8,35.3,40.9,N,39.5,44.5,52.9,45.3,R,38.0,47.3
Leisure Time PA,74.9,70.8,77.0,71.9,69.2,74.4,79.3,77.1,75.9,70.4,69.8
Lifetime Asthma,21.1,14.6,15.3,15.3,13.2,14.6,16.0,17.8,15.1,12.0,10.1
Mammogram,53.6,67.9,62.7,64.8,63.5,65.7,67.4,71.1,51.8,60.1,56.6
Mammogram Past 2 Yrs 40+,57.3,62.6,73.7,69.8,66.4,75.2,69.9,65.2,62.4,66.8,77.8
Mammogram Past 2 Yrs 40+ IA,57.1,63.1,73.6,69.8,66.8,74.6,70.3,65.5,62.4,62.4,77.8
Mammogram Past 2 Yrs 50+,63.9,66.8,77.7,71.0,75.7,81.1,71.4,70.7,64.7,73.2,76.3
Mammogram Past 2 Yrs 50+ IA,63.7,67.3,77.2,71.0,76.0,81.0,71.7,71.2,64.7,67.1,76.3
Mammogram Past 2 Yrs 50-74,61.5,68.2,79.5,72.3,78.8,84.4,73.0,73.7,57.0,82.7,78.0
Mammogram Past 2 Yrs 50-74 I,61.2,68.8,78.8,72.3,79.3,84.3,73.2,74.3,57.0,73.9,78.0
Medical Cost,20.0,20.9,16.6,21.6,18.1,17.3,13.0,18.6,16.8,19.9,16.9
Memory Loss,9.5,17.1,15.4,18.5,24.1,12.2,18.6,16.4,R,16.6,15.1
Menthol Cig,36.7,R,28.0,N,47.3,51.8,29.7,30.6,30.0,N,51.9
Menthol E-Cig,R,R,24.6,N,N,R,24.1,29.0,N,N,N
Obese,46.8,44.5,34.0,38.5,38.8,36.8,31.5,36.4,39.8,36.3,40.3
Other Cancer,4.2,10.1,8.2,8.1,11.3,7.5,6.8,5.8,R,5.1,5.0
OtherStoolTest,40.1,32.7,25.9,N,21.4,28.5,33.6,23.3,R,34.7,37.1
Overweight or Obese,78.3,70.0,70.2,74.6,76.2,67.5,65.9,71.3,78.3,75.2,73.0
Pain Med Not Rx,R,R,2.9,R,R,3.5,3.5,3.9,R,7.9,5.5
Pap - HPV Test Past 5 Yrs 21,34.4,53.5,39.0,N,37.3,42.2,39.7,37.5,42.3,33.2,37.8
Pap - HPV Test Past 5 Yrs 21 2,34.3,53.7,38.8,N,36.8,42.0,39.3,37.6,42.3,30.5,37.8
Pap Test Past 3 Yrs 21-65,62.8,71.6,64.8,N,52.5,62.4,69.3,69.4,66.5,55.1,64.4
Pap Test Past 3 Yrs 21-65 IA,62.6,71.7,64.6,N,52.7,62.4,69.0,69.5,66.5,51.0,64.4
Pap Test Past 5 Yrs 21-65,73.3,79.2,72.1,N,69.9,66.2,75.2,76.7,71.6,62.5,65.2
Pap Test Past 5 Yrs 21-65 IA,73.2,79.2,71.9,N,69.9,66.2,74.8,76.8,71.6,57.9,65.2
"Pneumonia Shot, 18+",32.5,38.5,33.5,38.9,29.3,30.4,35.4,31.6,25.2,32.6,25.2
"Pneumonia Shot, 65+",72.7,73.7,73.2,67.9,69.4,69.6,75.0,65.6,38.5,60.5,66.0
Poor Mental Health 14+ Days,88.8,82.7,84.0,84.0,76.7,86.7,83.7,81.8,88.0,83.6,82.5
Poor Mental Health 5+ Days,68.6,70.2,69.4,70.7,66.7,71.6,68.2,65.4,78.2,72.8,66.3
Poor Physical Health 14+ Day,86.9,82.3,87.9,88.7,86.2,89.0,88.2,85.2,84.8,86.0,88.2
Poor Physical Health 5+ Days,72.4,74.9,78.8,78.2,76.5,79.2,77.9,74.8,78.4,74.8,77.2
Pre-Diabetes,11.6,12.7,15.4,14.7,12.6,18.3,16.0,19.3,12.8,19.1,19.0
Pre-Diabetes 2,11.3,10.6,13.4,11.0,10.0,16.0,14.1,16.2,11.6,15.4,15.2
Provided Care Past 30 Days,21.7,29.7,17.9,23.8,21.0,23.5,19.5,21.7,18.7,23.2,19.8
Quit Smoking in Past Yr,48.9,56.9,60.4,N,50.0,50.9,44.5,56.0,73.0,N,63.1
Reg BP Check,68.1,74.5,72.4,64.3,73.8,64.9,67.5,67.0,74.5,72.9,78.5
RemoveTeeth,28.0,27.6,27.7,23.9,30.5,29.6,24.7,31.1,28.7,30.7,27.5
Routine Checkup,73.7,79.3,76.8,73.1,77.2,72.2,77.0,76.9,76.6,73.1,73.8
Routine Checkup in the Past ,73.7,79.3,76.8,73.1,77.2,72.2,77.0,76.9,76.6,73.1,73.8
Rx Opioid,19.2,17.4,12.3,17.6,14.4,9.5,12.1,12.1,R,10.3,7.0
Rx Pain Med,24.9,23.0,19.1,21.1,20.9,16.9,19.7,19.9,R,19.8,14.0
RxPainRiskEd Source,59.5,47.2,56.9,53.2,60.1,51.2,58.6,51.6,R,46.7,47.1
Served on Active Duty,7.2,13.8,10.1,12.9,13.6,8.0,14.8,16.9,14.6,13.6,7.7
SexualOrientation,93.2,94.8,90.2,95.3,92.5,91.0,87.6,89.3,94.8,91.3,91.9
Sigm Past 10 Yrs 50-75 IA,R,R,12.8,R,R,14.5,22.0,22.7,R,16.7,R
Sigm Past 10 Yrs Age 50-75,R,R,12.8,R,R,14.7,22.2,23.2,R,17.7,R
Sigm Past 5 Yrs 50-75 IA,9.9,R,11.6,R,R,10.8,19.4,19.2,R,R,R
Sigm Past 5 Yrs Age 50-75,10.0,R,11.5,R,R,10.9,19.6,19.6,R,R,R
Sigm and Blood Stool 50-75 I,R,R,R,N,R,R,R,R,R,R,R
Sigm and Blood Stool Age 50-,R,R,R,N,R,R,R,R,R,R,R
Skin Cancer,2.6,4.6,4.3,6.9,8.2,3.6,6.0,3.5,R,R,2.6
Smokeless Tobacco Use,3.6,3.1,1.3,R,R,R,2.2,R,R,R,R
Smoker Status,9.9,6.9,4.6,10.5,8.4,7.6,6.9,4.9,15.3,R,3.9
Stool DNA Past 3 Yrs 50-75 I,R,R,5.4,R,4.5,5.3,5.1,4.9,R,7.9,R
Stool DNA Past 3 Yrs Age 50-,R,R,5.5,R,4.6,5.4,5.2,4.9,R,8.3,R
Stroke,R,R,4.1,6.9,R,R,2.6,3.0,R,2.3,R
Suicidal Ideation,2.5,R,4.3,R,R,2.6,3.4,3.6,3.4,R,R
Suicide Attempt,R,R,R,R,R,R,R,R,R,R,R
Teeth Removed,44.4,50.2,37.3,47.8,46.7,37.9,36.1,38.8,39.6,41.4,37.4
Transgender,R,R,R,R,R,R,R,R,R,R,R
Up-To-Date CRC Scrn 50-75 IA,67.2,70.2,70.7,73.0,62.9,65.9,77.4,73.9,62.4,70.5,60.7
Up-To-Date CRC Scrn Age 50-7,67.6,70.2,70.8,72.3,62.4,66.2,77.3,74.1,62.4,73.5,60.8
Up-To-Date Cervical Cancer S,60.1,70.5,65.7,N,63.1,60.8,70.3,71.6,66.0,55.0,61.7
Up-To-Date Cervical Cancer S 2,60.0,70.6,65.5,N,63.2,60.9,69.9,71.7,66.0,50.7,61.7
V Col 5 Yrs 50-75 IA,R,R,3.0,R,R,R,R,R,R,R,R
V Col 5 Yrs Age 50-75,R,R,3.1,R,R,R,R,R,R,R,R
VirtualColonoscopy,R,R,18.3,R,34.5,25.7,20.1,19.4,R,19.7,R