"County","cve","outbreak","enrollment","PHR"
"Anderson",2.54,0,7808,4
"Andrews",1.91,3,4209,9
"Angelina",2.5,0,15649,5
"Aransas",2.06,0,2913,11
"Archer",2.7,0,2110,2
"Armstrong",5.24,0,297,1
"Atascosa",1.08,1,9046,8
"Austin",3.55,0,6290,6
"Bailey",0.8,2,1330,1
"Bandera",3.78,0,2461,8
"Bastrop",2.09,0,21555,7
"Baylor",0.88,0,594,2
"Bee",1.48,0,5097,11
"Bell",2.42,0,77364,7
"Bexar",2.01,1,353807,8
"Blanco",7.22,0,1809,7
"Borden",8.15,1,249,1
"Bosque",3.66,0,2805,7
"Bowie",2.79,0,17435,4
"Brazoria",0.47,0,74745,6
"Brazos",1.53,0,31112,7
"Brewster",6.64,1,1093,10
"Briscoe",9.79,0,204,1
"Brooks",0.5,0,1180,11
"Brown",3.05,1,6109,2
"Burleson",1.5,0,3128,7
"Burnet",7.13,0,7210,7
"Caldwell",1.8,0,8463,7
"Calhoun",1.13,0,3514,8
"Callahan",4.71,0,2608,2
"Cameron",0.47,0,84131,11
"Camp",1.69,0,2245,4
"Carson",5.23,1,1072,1
"Cass",3.58,0,5268,4
"Castro",1.12,0,1526,1
"Chambers",2.92,0,10989,6
"Cherokee",1.28,0,8027,4
"Childress",0.41,0,978,1
"Clay",4.9,0,1767,2
"Cochran",4.55,14,666,1
"Coke",3.06,0,501,9
"Coleman",3.65,0,1218,2
"Collin",4.25,1,250590,3
"Collingsworth",10.68,0,534,1
"Colorado",1.29,0,3697,6
"Comal",4.92,0,40047,8
"Comanche",2.3,0,2274,2
"Concho",2.54,0,521,9
"Cooke",3.57,0,6824,3
"Coryell",2.6,0,11201,7
"Cottle",2.65,0,156,2
"Crane",0.43,0,1233,9
"Crockett",0.67,0,621,9
"Crosby",1.79,0,893,1
"Culberson",0.52,0,381,10
"Dallam",2.06,7,2071,1
"Dallas",1.81,0,485061,3
"Dawson",4.08,26,2117,1
"Deaf Smith",0.23,0,4110,1
"Delta",0.67,0,1044,4
"Denton",4.81,0,147737,3
"DeWitt",2.14,0,NA,8
"Dickens",1.49,0,280,1
"Dimmit",0.11,0,1852,8
"Donley",4.21,0,496,1
"Duval",0.57,0,2346,11
"Eastland",3.99,2,2515,2
"Ector",1.6,12,35221,9
"Edwards",2.35,0,440,8
"El Paso",0.73,59,160313,10
"Ellis",3.71,0,45703,3
"Erath",3.74,1,13913,3
"Falls",1.19,0,2358,7
"Fannin",4.12,4,5523,3
"Fayette",2.05,0,3755,7
"Fisher",2.23,0,570,2
"Floyd",1.64,0,1062,1
"Foard",1.55,0,189,2
"Fort Bend",1.28,0,133591,6
"Franklin",3.28,0,1608,4
"Freestone",1.82,0,3520,7
"Frio",0.4,0,2794,8
"Gaines",14.54,414,3764,1
"Galveston",2.97,0,80828,6
"Garza",2.71,2,818,1
"Gillespie",7.04,0,3641,8
"Glasscock",2.55,0,293,9
"Goliad",1.51,0,1244,8
"Gonzales",1.27,0,3875,8
"Gray",1.64,0,3545,1
"Grayson",3.04,0,25810,3
"Gregg",2.72,0,22913,4
"Grimes",3.03,0,4971,7
"Guadalupe",2.26,0,26648,8
"Hale",1.3,5,5789,1
"Hall",4.79,0,525,1
"Hamilton",5.21,0,1450,7
"Hansford",1.56,0,1229,1
"Hardeman",0.79,1,623,2
"Hardin",3.96,0,11144,5
"Harris",1.76,0,879002,6
"Harrison",2.34,0,31964,4
"Hartley",1.75,0,357,1
"Haskell",2.45,0,793,2
"Hays",3.08,0,44919,7
"Hemphill",3.03,0,758,1
"Henderson",3.94,0,10190,4
"Hidalgo",0.79,0,264624,11
"Hill",3.01,0,6430,7
"Hockley",2.9,7,4584,1
"Hood",5.54,0,9371,3
"Hopkins",3.01,0,6713,4
"Houston",2.96,0,3038,5
"Howard",1.83,0,5155,9
"Hudspeth",0.91,0,566,10
"Hunt",3.29,0,17062,3
"Hutchinson",2.95,0,3635,1
"Irion",5.78,0,334,9
"Jack",3.06,0,1613,2
"Jackson",1.54,0,3399,8
"Jasper",4.93,0,5792,5
"Jeff Davis",2.7,0,714,10
"Jefferson",2.38,0,40983,5
"Jim Hogg",0.11,0,967,11
"Jim Wells",1.75,0,7302,11
"Johnson",4.53,0,38452,3
"Jones",2.48,0,2572,2
"Karnes",0.81,0,2383,8
"Kaufman",2.73,0,42263,3
"Kendall",6.49,0,12218,8
"Kenedy",4.71,0,126,11
"Kent",4.07,0,169,2
"Kerr",4.52,0,6716,8
"Kimble",4.37,0,589,9
"King",8.79,0,93,1
"Kinney",2.78,0,521,8
"Kleberg",1.63,0,4444,11
"Knox",0.94,0,710,2
"La Salle",0.83,0,1157,8
"Lamar",3.24,28,8516,4
"Lamb",2.95,1,2630,1
"Lampasas",4.29,0,3956,7
"Lavaca",2.92,0,2547,8
"Lee",2.29,0,3108,7
"Leon",2.57,0,3286,7
"Liberty",1.24,0,24410,6
"Limestone",1.46,0,3628,7
"Lipscomb",4.15,0,611,1
"Live Oak",1.62,0,1629,11
"Llano",4.45,0,1968,7
"Loving",0,0,NA,9
"Lubbock",2.12,52,51155,1
"Lynn",5.12,2,1706,1
"Madison",1.58,0,2710,7
"Marion",3.11,0,1125,4
"Martin",3.11,3,1303,9
"Mason",3.75,0,700,9
"Matagorda",1.91,0,6951,6
"Maverick",0.39,0,13820,8
"McCulloch",1.68,0,NA,9
"McLennan",1.82,9,NA,7
"McMullen",8.3,0,NA,11
"Medina",1.05,0,14942,8
"Menard",1.22,0,264,9
"Midland",2.42,6,33445,9
"Milam",1.73,0,4276,7
"Mills",0,0,767,7
"Mitchell",0.87,0,1288,2
"Montague",7.25,0,3240,2
"Montgomery",3.88,0,132289,6
"Moore",1.08,0,4974,1
"Morris",1.02,0,1879,4
"Motley",7.36,0,179,1
"Nacogdoches",2.22,0,10396,5
"Navarro",2.13,0,10623,3
"Newton",4.39,0,1750,5
"Nolan",2.28,0,14455,2
"Nueces",1.7,0,56536,11
"Ochiltree",1.33,0,1802,1
"Oldham",4.62,0,844,1
"Orange",5.05,0,15015,5
"Palo Pinto",3.68,0,4717,3
"Panola",4.34,0,3981,4
"Parker",5.9,0,26953,3
"Parmer",1.07,5,2164,1
"Pecos",3.39,0,14033,9
"Polk",1.96,0,7045,5
"Potter",2.3,1,32725,1
"Presidio",0.55,0,1279,10
"Rains",3.94,0,1712,4
"Randall",3.67,1,11565,1
"Reagan",0.7,0,855,9
"Real",3.77,0,518,8
"Red River",1.75,0,1976,4
"Reeves",1.88,2,3065,9
"Refugio",3.31,0,1197,11
"Roberts",1.14,0,177,1
"Robertson",1.38,0,3408,7
"Rockwall",5.35,1,29269,3
"Runnels",1.88,0,1960,2
"Rusk",2.83,0,7717,4
"Sabine",5.11,0,1426,5
"San Augustine",3.48,0,974,5
"San Jacinto",2.64,0,3553,5
"San Patricio",1.55,0,13848,11
"San Saba",4.64,0,981,7
"Schleicher",0.76,0,415,9
"Scurry",1.24,0,2859,2
"Shackelford",3.79,0,589,2
"Shelby",2.74,0,5174,5
"Sherman",2.81,0,669,1
"Smith",4.48,0,40442,4
"Somervell",6.48,0,2180,3
"Starr",0.06,0,15488,11
"Stephens",5.5,0,1374,2
"Sterling",5.03,0,355,9
"Stonewall",0.57,0,181,2
"Sutton",2.27,0,643,9
"Swisher",1.69,0,1316,1
"Tarrant",3.3,0,336474,3
"Taylor",2.61,0,39617,2
"Terrell",0,0,114,9
"Terry",3.18,60,2086,1
"Throckmorton",6.95,0,322,2
"Titus",1.51,0,6972,4
"Tom Green",2.21,0,20905,9
"Travis",3.01,0,193926,7
"Trinity",2.08,0,2257,5
"Tyler",3.08,0,3382,5
"Upshur",5,5,7416,4
"Upton",1.07,0,785,9
"Uvalde",2.01,0,5085,8
"Val Verde",0.53,0,9943,8
"Van Zandt",4.71,0,10738,4
"Victoria",1.43,0,13870,8
"Walker",2.73,0,12513,6
"Waller",2.06,0,14374,6
"Ward",2.68,0,2338,9
"Washington",2.75,0,5495,7
"Webb",0.33,0,61575,11
"Wharton",1.04,0,7729,6
"Wheeler",3.75,0,985,1
"Wichita",2.09,0,19355,2
"Wilbarger",1.49,0,2110,2
"Willacy",0.27,0,3889,11
"Williamson",3.95,0,136040,7
"Wilson",2.88,0,9448,8
"Winkler",0.89,0,1777,9
"Wise",5.92,0,10549,3
"Wood",4.34,0,6349,4
"Yoakum",2.35,1,1897,1
"Young",3.47,0,3066,2
"Zapata",0.06,0,3290,11
"Zavala",0.15,0,2082,8
